"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"group_id";"Date"
"64";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;4;0,956683;0,7904087;0,4259178;0,980908;1,39345;0,1001126;0,2528051;1,5400538;0;3,2892344;0,0084134;0,0492069;NA;NA;NA;NA;1;2010-04-01
"65";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;5;0,5328488;0,439103;0,2036355;0,4602314;0,6162599;0,0348884;0,0990593;0,7933955;0;2,1720285;0,0102581;0,038732;NA;NA;NA;NA;1;2010-05-01
"66";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;6;0,6209529;0,5105026;0,2052262;0,436748;0,8945434;0,0373088;0,1252297;0,6506073;0;2,2625761;0,0169049;0,0598302;NA;NA;NA;NA;1;2010-06-01
"67";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;7;0;0;0;0;0;0;0;0;0;0;0,0506517;0;NA;NA;NA;NA;1;2010-07-01
"68";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;8;0;0;0;0;0;0;0;0;0;0;0,0235708;0;NA;NA;NA;NA;1;2010-08-01
"69";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;9;0;0;0;0;0;0;0;0;0;0;0,019628;0;NA;NA;NA;NA;1;2010-09-01
"70";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;10;0,0712338;0,0581803;0,0160347;0,0355075;0,1236927;0,0020992;0,0086098;0,1078622;0;0,1473239;0,0353991;0,0112753;NA;NA;NA;NA;1;2010-10-01
"71";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;11;4,3721828;3,5643983;2,4227099;4,1496377;7,287991;0,5607252;2,1803899;8,8387012;0,0302176;7,7418623;0,0052933;0,5851277;NA;NA;NA;NA;1;2010-11-01
"72";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2010;12;1,8436762;1,4997045;1,1769009;3,1250985;2,0050859;0,3162549;1,1762244;7,7022285;0,0178041;4,2053804;0,0036535;0,1027496;NA;NA;NA;NA;1;2010-12-01
"73";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;1;1,3998466;1,1360495;1,3014265;2,8763654;1,686047;0,4384775;1,6950312;5,0897856;0,029763;4,5489416;0,0023362;0,0643322;NA;NA;NA;NA;1;2011-01-01
"74";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;2;0,8553625;0,6918032;0,4413745;0,8279482;1,3531768;0,1371979;0,3388535;1,0609477;0,0017775;3,0330508;0,0059805;0,0295474;NA;NA;NA;NA;1;2011-02-01
"75";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;3;1,6391934;1,3211652;0,8681646;1,7414999;2,5340521;0,2779517;0,6611022;3,0610383;0;4,8191009;0,006258;0,0549996;NA;NA;NA;NA;1;2011-03-01
"76";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;4;0,9305108;0,748026;0,4196641;0,7718138;1,3855931;0,099137;0,2450408;1,1200391;0;3,3239233;0,0087141;0,0496229;NA;NA;NA;NA;1;2011-04-01
"77";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;5;0,5077266;0,4071408;0,1987753;0,3464469;0,6017395;0,0340132;0,0947024;0,4793431;0;2,1917655;0,009895;0,0389518;NA;NA;NA;NA;1;2011-05-01
"78";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;6;0,5980085;0,4784523;0,2015063;0,3365973;0,86098;0,0366434;0,1210531;0,4386117;0;2,2795949;0,0169049;0,0602278;NA;NA;NA;NA;1;2011-06-01
"79";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;7;0;0;0;0;0;0;0;0;0;0;0,0500919;0;NA;NA;NA;NA;1;2011-07-01
"80";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;8;0;0;0;0;0;0;0;0;0;0;0,0223473;0;NA;NA;NA;NA;1;2011-08-01
"81";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;9;0;0;0;0;0;0;0;0;0;0;0,0159987;0;NA;NA;NA;NA;1;2011-09-01
"82";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;10;0,0638967;0,0508641;0,0152095;0,0334863;0,1188565;0,0020176;0,0084375;0,0627792;0;0,1485918;0,0317264;0,011275;NA;NA;NA;NA;1;2011-10-01
"83";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;11;4,2673717;3,3946052;2,4025071;6,0860739;7,0157275;0,5577205;2,1442494;12,1238832;0,0300556;7,822247;0,0054668;0,5846254;NA;NA;NA;NA;1;2011-11-01
"84";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2011;12;1,5874051;1,2605114;1,0970231;3,0574994;1,9647077;0,3020443;1,1610854;6,2890744;0,0177546;4,2560587;0,0035186;0,1036623;NA;NA;NA;NA;1;2011-12-01
"85";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;1;1,5206264;1,2053589;1,3629177;4,064539;1,5576102;0,4563836;1,690565;8,1161442;0,0296126;4,6037011;0,0025492;0,0617007;NA;NA;NA;NA;1;2012-01-01
"86";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;2;0,7931494;0,6267294;0,4272867;0,964775;1,3095047;0,1340825;0,3383681;1,0483174;0,0017418;3,0680187;0,0060307;0,0296946;NA;NA;NA;NA;1;2012-02-01
"87";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;3;1,4764404;1,1630728;0,8289499;1,7466274;2,4292688;0,2710938;0,6545703;2,3891029;0;4,8714237;0,0060552;0,0553053;NA;NA;NA;NA;1;2012-03-01
"88";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2012;4;0,9004489;0,7075997;0,4155335;0,8291454;1,3348231;0,09902;0,24244;1,1650407;0;3,3593915;0,0087912;0,0498664;NA;NA;NA;NA;1;2012-04-01
