"";"Month";"Year";"Dry weight";"Ca";"Mg";"K";"S";"P";"Date"
"141";9;2016;24066,1640625;36,8875198;6,0424242;24,0423393;2,6515312;4,9984298;2016-09-01
"142";10;2016;24068,1816406;36,8908043;6,0429587;24,0444908;2,6517334;4,9989204;2016-10-01
"143";11;2016;24070,1972656;36,8919945;6,0432439;24,0449123;2,6517601;4,9989862;2016-11-01
"144";12;2016;24072,2148438;36,8919945;6,0432429;24,0449715;2,651788;4,9990506;2016-12-01
"145";1;2017;24074,1191406;36,8919945;6,0432429;24,0449886;2,6517994;4,9990759;2017-01-01
"146";2;2017;24076,0234375;36,8919983;6,0432429;24,0450077;2,6518149;4,9991074;2017-02-01
"147";3;2017;24079,8339844;36,8919983;6,0432429;24,045042;2,6518657;4,9991951;2017-03-01
"148";4;2017;24127,4628906;36,8992767;6,0442181;24,0485497;2,6536033;5,0017691;2017-04-01
"149";5;2017;24222,7226562;37,0170403;6,0681219;24,1332664;2,6647589;5,0211987;2017-05-01
"150";6;2017;24283,6875;37,1163139;6,084281;24,1983013;2,6712902;5,0271654;2017-06-01
"151";7;2017;24344,6503906;37,2155838;6,1004391;24,26334;2,6780519;5,0313544;2017-07-01
"152";8;2017;24397,9960938;37,3024445;6,1145782;24,3202477;2,6839366;5,0362988;2017-08-01
"153";9;2017;24447,5292969;37,3831062;6,1277075;24,3730869;2,6895442;5,0415311;2017-09-01
"154";10;2017;24449,4335938;37,3862076;6,1282125;24,3751221;2,6897311;5,041965;2017-10-01
"155";11;2017;24451,3378906;37,3874397;6,1284933;24,3755608;2,6897562;5,0420251;2017-11-01
"156";12;2017;24453,2421875;37,3874397;6,1284933;24,3756161;2,6897819;5,0420842;2017-12-01
"157";1;2018;24455,1464844;37,3874397;6,1284933;24,3756351;2,6897938;5,0421104;2018-01-01
"158";2;2018;24457,0507812;37,3874359;6,1284943;24,375658;2,6898105;5,0421429;2018-02-01
"159";3;2018;24460,8613281;37,3874359;6,1284943;24,3756924;2,6898634;5,0422339;2018-03-01
"160";4;2018;24508,4921875;37,3949203;6,1295056;24,379324;2,6916666;5,0449018;2018-04-01
"161";5;2018;24603,75;37,5134048;6,1535935;24,4647789;2,7028224;5,0644584;2018-05-01
"162";6;2018;24664,7148438;37,6126823;6,1697531;24,5298195;2,7094362;5,0692124;2018-06-01
"163";7;2018;24725,6796875;37,7119522;6,1859117;24,5948505;2,7162306;5,0732613;2018-07-01
"164";8;2018;24779,0234375;37,7988167;6,2000508;24,6517563;2,7221406;5,0781813;2018-08-01
