"";"Date";"V2";"Dry.weight";"Ca";"Mg";"K";"N";"P";"S";"V10";"V11";"V12";"V13";"V14";"V15"
"88";2012;4;14,7203007;650,1559448;82,7913361;38,8236923;98,5090408;20,3708267;28,083519;"    957.0490723";"    121.8713303";"     57.1496429";"    145.0082703";"     29.9864693";"     41.3397827"
"89";2012;5;28,8086681;650,4257812;82,7913361;38,8236923;98,5090408;20,3708267;28,1001682;"   1873.7900391";"    238.5108032";"    111.8458862";"    283.7914124";"     58.6856384";"     80.9528427"
"90";2012;6;27,2474251;650,2980957;82,7913361;38,8236885;98,5090408;20,3708267;28,1111374;"   1771.8947754";"    225.5850677";"    105.7845535";"    268.4117737";"     55.5052567";"     76.5956116"
"91";2012;7;20,3333454;649,6535034;82,7913284;38,8236847;98,5090408;20,3708267;28,1325703;"   1320.9628906";"    168.3424683";"     78.9415359";"    200.3018341";"     41.4207039";"     57.2029266"
"92";2012;8;29,5521164;648,5394897;82,7913284;38,8236847;98,5090332;20,3708267;28,1471195;"   1916.5714111";"    244.6658936";"    114.7322083";"    291.1150513";"     60.2001038";"     83.1806946"
"93";2012;9;60,1078949;647,7404175;82,7913284;38,8236847;98,5090332;20,3708267;28,1121197;"   3893.4311523";"    497.6412354";"    233.3609924";"    592.1170654";"    122.4447479";"    168.9760284"
"94";2012;10;180,6582336;646,1451416;82,7913284;38,8236809;98,5090332;20,3708267;28,0568466;"  11673.1435547";"   1495.6934814";"    701.3817139";"   1779.6467285";"    368.0157471";"    506.8700256"
"95";2012;11;69,5868683;644,3310547;82,7913284;38,8236809;98,5090332;20,3708267;28,0808296;"   4483.6982422";"    576.1188965";"    270.1618347";"    685.4935303";"    141.7541962";"    195.4057007"
"96";2012;12;26,0950775;634,2027588;82,7913208;38,8236809;98,5090408;20,3708267;27,672102;"   1654.9570312";"    216.0446014";"    101.3106995";"    257.0601196";"     53.1578331";"     72.2105637"
"97";2013;1;18,5892601;630,6055908;82,7913208;38,8236809;98,5090408;20,3708267;27,5212955;"   1172.2491455";"    153.9029388";"     72.1703491";"    183.1210175";"     37.8678589";"     51.1600494"
"98";2013;2;22,1944504;623,2180786;82,7913208;38,8236809;98,5090408;20,3708267;27,2054539;"   1383.1982422";"    183.7507782";"     86.1670227";"    218.6353912";"     45.2119293";"     60.3810081"
"99";2013;3;22,5324345;622,6444702;82,7913208;38,8236809;98,5090332;20,3708267;27,2045441;"   1402.9696045";"    186.5489960";"     87.4792023";"    221.9648285";"     45.9004326";"     61.2984619"
"100";2013;4;14,8714075;622,1351929;82,7913132;38,8236809;98,5090256;20,3708267;27,222805;"    925.2026367";"    123.1223373";"     57.7362785";"    146.4967957";"     30.2942867";"     40.4841423"
"101";2013;5;29,1043949;622,4651489;82,7913132;38,8236809;98,5090256;20,3708267;27,2413063;"   1811.6470947";"    240.9591064";"    112.9939728";"    286.7045593";"     59.2880592";"     79.2841721"
"102";2013;6;27,5271263;622,3174438;82,7913132;38,8236809;98,5090179;20,3708267;27,2534885;"   1713.0611572";"    227.9006958";"    106.8704376";"    271.1670227";"     56.0750351";"     75.0210266"
"103";2013;7;20,5420704;621,6964722;82,7913132;38,8236809;98,5090179;20,3708267;27,2772961;"   1277.0932617";"    170.0704956";"     79.7518768";"    202.3579254";"     41.8458977";"     56.0332146"
"104";2013;8;29,8554764;620,6576538;82,7913132;38,8236847;98,5090103;20,3708267;27,2553234;"   1853.0029297";"    247.1773987";"    115.9099579";"    294.1033325";"     60.8180733";"     81.3720627"
"105";2013;9;60,7249146;619,9146118;82,7913132;38,8236847;98,5090103;20,3708267;27,2242737;"   3764.4262695";"    502.7495728";"    235.7565002";"    598.1951294";"    123.7016754";"    165.3191681"
"106";2013;10;182,5127258;618,9608154;82,7913132;38,8236847;98,5090027;20,3708267;27,2024498;"  11296.8222656";"   1511.0467529";"    708.5816650";"   1797.9146729";"    371.7935181";"    496.4793091"
"107";2013;11;70,3011932;617,2614746;82,7913132;38,8236885;98,5090027;20,3708267;27,2250061;"   4339.4218750";"    582.0328369";"    272.9351807";"    692.5300293";"    143.2093506";"    191.3950500"
"108";2013;12;26,3629494;607,5701904;82,7913055;38,8236885;98,5090027;20,3708267;26,8293915;"   1601.7341309";"    218.2622986";"    102.3506927";"    259.6987610";"     53.7035065";"     70.7301865"
"109";2014;1;18,7781868;604,1356812;82,7913055;38,8236923;98,5089951;20,3708267;26,683527;"   1134.4572754";"    155.4670563";"     72.9038544";"    184.9820404";"     38.2527199";"     50.1068268"
"110";2014;2;22,4200172;597,1327515;82,7913055;38,8236923;98,5089951;20,3442574;26,3804455;"   1338.7727051";"    185.6182556";"     87.0427856";"    220.8573456";"     45.6118622";"     59.1450043"
"111";2014;3;22,7614384;596,5957031;82,7913055;38,8236923;98,5089951;20,3366718;26,3804321;"   1357.9376221";"    188.4449158";"     88.3683090";"    224.2206421";"     46.2891884";"     60.0456581"
"112";2014;4;15,0225496;596,1310425;82,7913055;38,8236923;98,5090027;20,3367443;26,4004326;"    895.5408325";"    124.3736496";"     58.3230858";"    147.9856415";"     30.5509758";"     39.6601791"
"113";2014;5;29,4001923;596,5167847;82,7913055;38,8236923;98,4717407;20,3368168;26,4206944;"   1753.7707520";"    243.4080200";"    114.1423950";"    289.5087891";"     59.7906303";"     77.6773453"
"114";2014;6;27,8068924;596,5559082;82,7912979;38,8236923;98,4717941;20,3368664;26,4340401;"   1658.8365479";"    230.2168732";"    107.9566269";"    273.8194580";"     56.5505066";"     73.5048523"
"115";2014;7;20,750845;596,0161133;82,7912979;38,8236923;98,4719009;20,3369617;26,4601192;"   1236.7838135";"    171.7989349";"     80.5624390";"    204.3375092";"     42.2009125";"     54.9069824"
"116";2014;8;30,158905;595,0457153;82,7912903;38,8236923;98,4719925;20,3370533;26,4847183;"   1794.5927734";"    249.6894684";"    117.0880051";"    296.9807434";"     61.3343277";"     79.8750153"
"117";2014;9;61,3420792;594,3533325;82,7912827;38,8236923;98,4720688;20,3371181;26,4577312;"   3645.8867188";"    507.8589172";"    238.1525879";"    604.0480957";"    124.7521057";"    162.2972260"
"118";2014;10;184,3676605;593,3568726;82,7912827;38,8236923;98,472168;20,3372154;26,4215393;"  10939.5820312";"   1526.4034424";"    715.7833252";"   1815.5083008";"    374.9524841";"    487.1277161"
"119";2014;11;71,015686;591,7219238;82,791275;38,8236923;98,4723816;20,33741;26,4468365;"   4202.1538086";"    587.9479370";"    275.7091064";"    699.3084106";"    144.4275208";"    187.8140259"
"120";2014;12;26,6308823;582,4445801;82,791275;38,8236923;98,4730301;20,3379936;26,0633087;"   1551.1013184";"    220.4804840";"    103.3909225";"    262.2423706";"     54.1618729";"     69.4088898"
"121";2015;1;18,9293041;579,1647949;82,7912674;38,8236885;98,4732666;20,338213;25,9220104;"   1096.3186035";"    156.7181091";"     73.4905396";"    186.4030457";"     38.4988213";"     49.0685616"
"122";2015;2;22,600441;573,6610718;82,7912674;38,8236885;98,4736404;20,1930103;25,681448;"   1296.4992676";"    187.1119080";"     87.7432480";"    222.5547638";"     45.6370926";"     58.0412064"
"123";2015;3;22,9446068;573,1568604;82,7912674;38,8236885;98,4737091;20,1855011;25,6821728;"   1315.0859375";"    189.9613190";"     89.0794296";"    225.9440613";"     46.3148422";"     58.9267387"
"124";2015;4;15,1434422;572,7324219;82,7912674;38,8236885;98,4737854;20,185894;25,7036495;"    867.3140259";"    125.3744736";"     58.7924271";"    149.1232147";"     30.5683918";"     38.9241714"
"125";2015;5;29,6367874;573,168335;82,7912674;38,8236885;98,3860931;20,1862907;25,7254066;"   1698.6868896";"    245.3667297";"    115.0609436";"    291.5847778";"     59.8256836";"     76.2418442"
"126";2015;6;28,0306644;573,1512451;82,791275;38,8236847;98,3862686;20,1865501;25,7397366;"   1606.5810547";"    232.0694427";"    108.8253708";"    275.7832642";"     56.5842438";"     72.1501923"
"127";2015;7;20,9178352;572,1983643;82,791275;38,8236847;98,3866043;20,1870632;25,7354832;"   1196.9151611";"    173.1814270";"     81.2107468";"    205.8034821";"     42.2269669";"     53.8330612"
"128";2015;8;30,4016075;571,2913818;82,791275;38,8236847;98,3869247;20,1875439;25,6890583;"   1736.8176270";"    251.6987762";"    118.0302353";"    299.1120605";"     61.3733749";"     78.0988617"
"129";2015;9;61,8357239;570,3018799;82,791275;38,8236809;98,3871689;20,1879025;25,658287;"   3526.5029297";"    511.9458313";"    240.0690308";"    608.3841553";"    124.8333511";"    158.6598663"
"130";2015;10;185,8513489;569,3717651;82,791275;38,8236809;98,3875122;20,1884212;25,6222782;"  10581.8505859";"   1538.6870117";"    721.5433350";"   1828.5451660";"    375.2045288";"    476.1934814"
"131";2015;11;71,5871735;567,6566772;82,791275;38,8236809;98,3882141;20,189476;25,6176529;"   4063.6938477";"    592.6793823";"    277.9277649";"    704.3334351";"    144.5307617";"    183.3895416"
"132";2015;12;26,845192;558,7696533;82,791275;38,8236809;98,3903198;20,192627;25,2471313;"   1500.0279541";"    222.2547760";"    104.2229233";"    264.1307068";"     54.2074966";"     67.7764130"
"133";2016;1;19,0804634;555,6359863;82,7912827;38,8236771;98,3911133;20,193821;25,1107464;"   1060.1791992";"    157.9695892";"     74.0773697";"    187.7347870";"     38.5307426";"     47.9124641"
"134";2016;2;22,7809162;550,4047241;82,7912827;38,8236771;98,3923416;20,0504723;24,8798447;"   1253.8724365";"    188.6061249";"     88.4438934";"    224.1467743";"     45.6768150";"     56.6785660"
"135";2016;3;23,1278324;549,9338379;82,791275;38,8236771;98,3925476;20,0430984;24,8815556;"   1271.8778076";"    191.4782715";"     89.7907486";"    227.5606384";"     46.3553429";"     57.5456429"
"136";2016;4;15,26437;549,550293;82,7912674;38,8236732;98,3927994;20,0437908;24,9047222;"    838.8539429";"    126.3756561";"     59.2618942";"    150.1904144";"     30.5955849";"     38.0154915"
"137";2016;5;29,8734493;550,0359497;82,7912674;38,8236732;98,3040237;20,0444927;24,928194;"   1643.1470947";"    247.3260803";"    115.9797058";"    293.6680298";"     59.8798141";"     74.4691162"
