"";"Year";"Month";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"227";2023;11;10413,0214844;47,8949051;18,8611755;5,8027921;23,139637;4,0540667;5,2945952;2023-11-01
"228";2023;12;10354,0576172;47,6236992;18,7543755;5,7699337;23,0086079;4,0311108;5,2646146;2023-12-01
"229";2024;1;10312,3232422;47,4317436;18,6787815;5,7466769;22,9158669;4,0148625;5,2433953;2024-01-01
"230";2024;2;10262,4941406;47,2025528;18,5885258;5,7189088;22,8051395;3,9954619;5,2180581;2024-02-01
"231";2024;3;10211,9052734;46,9698715;18,4968948;5,6907182;22,6927204;3,9757671;5,1923361;2024-03-01
"232";2024;4;10577,2119141;48,0650482;18,5695782;5,7040443;22,7549095;4,0647807;5,2974014;2024-04-01
"233";2024;5;10545,2578125;48,1180191;18,5434208;5,7002292;22,7499542;4,0652485;5,3030572;2024-05-01
"234";2024;6;10548,7988281;48,3318863;18,6509686;5,7283268;22,9118061;4,0914912;5,3214283;2024-06-01
"235";2024;7;10564,4814453;48,3349838;18,7740726;5,7614918;23,0910378;4,1209936;5,3268585;2024-07-01
"236";2024;8;10543,5722656;48,1934891;18,8075352;5,7683401;23,1528244;4,1301174;5,3143153;2024-08-01
"237";2024;9;10474,265625;47,8424072;18,785429;5,756659;23,1551552;4,1275249;5,2763181;2024-09-01
"238";2024;10;10200,8369141;46,8655815;18,494873;5,6580253;22,8548489;4,044641;5,2073145;2024-10-01
"239";2024;11;10452,765625;46,559288;18,9979286;5,8409986;23,148077;4,015944;5,1853995;2024-11-01
"240";2024;12;10393,578125;46,2956543;18,8903542;5,8079243;23,017004;3,9932044;5,1560378;2024-12-01
