"";"Month";"Year";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"166";10;2018;257748,40625;172,6114807;191,9956055;27,3897362;125,519371;16,3961849;22,880537;2018-10-01
"167";11;2018;257758,40625;172,6155548;191,9989166;27,3904076;125,5213699;16,3963737;22,8806801;2018-11-01
"168";12;2018;257760,3125;172,6159058;191,9989166;27,3904076;125,5213928;16,3963852;22,8807354;2018-12-01
"169";1;2019;257762,015625;172,6160431;191,9989166;27,3904076;125,5213013;16,3963928;22,8807602;2019-01-01
"170";2;2019;257763,78125;172,6161804;191,9989166;27,3904076;125,5212708;16,3964043;22,8807888;2019-02-01
"171";3;2019;257767,359375;172,6165009;191,9989166;27,3904076;125,5211792;16,3964558;22,8808708;2019-03-01
"172";4;2019;257973,71875;172,6566162;192,0159607;27,3924389;125,5773773;16,4020119;22,8864021;2019-04-01
"173";5;2019;261490,4375;174,3614349;193,9589081;27,7037163;126,962883;16,6070461;23,1564636;2019-05-01
"174";6;2019;262301,34375;174,7378387;194,5581665;27,7862968;127,3386154;16,6566811;23,1842117;2019-06-01
"175";7;2019;263021,25;175,0685577;195,0967712;27,8608189;127,6766434;16,7011604;23,2012844;2019-07-01
"176";8;2019;263770,28125;175,4176941;195,6474457;27,936573;128,021759;16,7468262;23,2247219;2019-08-01
"177";9;2019;264449,40625;175,7336884;196,1478577;28,0054646;128,335434;16,7883034;23,2469311;2019-09-01
"178";10;2019;264505;175,7606201;196,1867676;28,0107193;128,359726;16,7915707;23,2512817;2019-10-01
"179";11;2019;264514,71875;175,7645416;196,1902008;28,0114002;128,3617706;16,7917652;23,2514153;2019-11-01
"180";12;2019;264516,59375;175,7648621;196,1902008;28,0114002;128,3617706;16,7917767;23,2514687;2019-12-01
"181";1;2020;264518,09375;175,7649689;196,1902008;28,0114002;128,3617096;16,7917824;23,2514915;2020-01-01
"182";2;2020;264519,65625;175,7651062;196,1902008;28,0114002;128,3616486;16,7917938;23,2515182;2020-02-01
"183";3;2020;264522,78125;175,7653809;196,1902008;28,0114002;128,3615723;16,7918358;23,2515888;2020-03-01
"184";4;2020;264720,375;175,8002625;196,2062073;28,0132923;128,4161987;16,7970695;23,2567329;2020-04-01
"185";5;2020;268206,96875;177,5010834;198,1248016;28,3268013;129,8135681;16,9994202;23,5275993;2020-05-01
"186";6;2020;269447,78125;178,0914612;199,0028839;28,4460106;130,3616638;17,0728779;23,5941277;2020-06-01
"187";7;2020;270150,5625;178,4142151;199,5226593;28,5176487;130,6873169;17,1158943;23,6111774;2020-07-01
"188";8;2020;270881,21875;178,7542267;200,0545502;28,5905666;131,0201263;17,1600838;23,6368923;2020-08-01
"189";9;2020;271662,625;179,121109;200,6169586;28,6673717;131,3716888;17,2069378;23,6660995;2020-09-01
"190";10;2020;271714,40625;179,1460266;200,6530609;28,6722469;131,3942108;17,2099705;23,6700287;2020-10-01
"191";11;2020;271723,40625;179,1496735;200,6566315;28,6729069;131,3962708;17,2101803;23,670145;2020-11-01
"192";12;2020;271725,0625;179,1499634;200,6566315;28,6729069;131,3963013;17,2101898;23,6701908;2020-12-01
"193";1;2021;271726,4375;179,1500702;200,6566315;28,6729069;131,396225;17,2101955;23,6702099;2021-01-01
"194";2;2021;271727,90625;179,1501923;200,6566315;28,6729069;131,3961945;17,210207;23,6702347;2021-02-01
"195";3;2021;271730,8125;179,1504669;200,6566315;28,672905;131,3961182;17,2102489;23,6703033;2021-03-01
"196";4;2021;271925,4375;179,1864471;200,6725159;28,6748028;131,4506836;17,2155228;23,6754436;2021-04-01
"197";5;2021;275340,25;180,8900146;202,5522614;28,9877834;132,8481445;17,4137897;23,9448051;2021-05-01
"198";6;2021;276727,21875;181,5546875;203,5252991;29,1195011;133,4555817;17,4954243;24,0190468;2021-06-01
"199";7;2021;277409,125;181,8687897;204,028244;29,1887684;133,7709045;17,5371037;24,0357304;2021-07-01
