 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2013;           1;  30207.4121094;  17501.3320312;   2339.8820801;     62.3642426;      0.0010781;  18399.6210938;   3230.2058105;   1033.2958984;    363.0545654;     78.0830994;      1.2237029;      0.0000129;    423.7211609
        2013;           2;  30212.1640625;  17497.7070312;   2329.1003418;     61.6691628;      0.0010332;  18398.4375000;   3242.9233398;   1033.4584961;    362.9793701;     77.7233047;      1.2100642;      0.0000124;    423.6939087
        2013;           3;  30218.1621094;  17492.6191406;   2317.0148926;     62.0743217;      0.0010380;  18396.5839844;   3258.2912598;   1033.6635742;    362.8738098;     77.3199997;      1.2180141;      0.0000124;    423.6512146
        2013;           4;  30224.9531250;  17484.9101562;   2303.4199219;     63.8767395;      0.0000000;  18393.6132812;   3280.9960938;   1033.8959961;    362.7138977;     76.8663330;      1.2533809;      0.0000000;    423.5827942
        2013;           5;  30227.2265625;  17476.7128906;   2287.7041016;     67.6168289;      0.0000000;  18389.1582031;   3318.1403809;   1033.9737549;    362.5438538;     76.3418884;      1.3267685;      0.0000000;    423.4801941
        2013;           6;  30224.7207031;  17475.4980469;   2282.1782227;     69.8632812;      0.0000000;  18386.1132812;   3337.8942871;   1033.8879395;    362.5186462;     76.1574936;      1.3708481;      0.0000000;    423.4100952
        2013;           7;  30215.5234375;  17476.3046875;   2281.7802734;     77.4388657;      0.0000000;  18381.9921875;   3359.9880371;   1033.5733643;    362.5354004;     76.1442032;      1.5194952;      0.0000000;    423.3151855
        2013;           8;  30207.4042969;  17481.1386719;   2277.9611816;     78.5923462;      0.0000000;  18377.7421875;   3381.8181152;   1033.2956543;    362.6356506;     76.0167618;      1.5421287;      0.0000000;    423.2173157
        2013;           9;  30218.8515625;  17482.4023438;   2259.1269531;     72.9102020;      0.0000000;  18370.6308594;   3402.3847656;   1033.6872559;    362.6618958;     75.3882523;      1.4306343;      0.0000000;    423.0535278
        2013;          10;  30232.3691406;  17477.1015625;   2245.7141113;     70.4511642;      0.0000000;  18364.1250000;   3421.3420410;   1034.1496582;    362.5519104;     74.9406586;      1.3823835;      0.0000000;    422.9037170
        2013;          11;  30243.1835938;  17473.0351562;   2232.7717285;     69.3092041;      0.0001435;  18359.7402344;   3434.9804688;   1034.5195312;    362.4675598;     74.5087662;      1.3599761;      0.0000017;    422.8027344
        2013;          12;  30251.6484375;  17472.8359375;   2222.8972168;     67.8143005;      0.0003521;  18357.3925781;   3436.9501953;   1034.8090820;    362.4634399;     74.1792526;      1.3306433;      0.0000042;    422.7486877
        2014;           1;  30258.9765625;  17469.9609375;   2208.7971191;     64.6169205;      0.0008023;  18355.7070312;   3450.3627930;   1035.0598145;    362.4037781;     73.7087173;      1.2679048;      0.0000096;    422.7098389
        2014;           2;  30267.5273438;  17461.7343750;   2181.8332520;     61.4282227;      0.0016185;  18353.9453125;   3485.0234375;   1035.3522949;    362.2331543;     72.8089218;      1.2053366;      0.0000193;    422.6693115
        2014;           3;  30276.3476562;  17449.6093750;   2152.9880371;     59.3179359;      0.0018442;  18351.9023438;   3528.8784180;   1035.6539307;    361.9815979;     71.8463364;      1.1639287;      0.0000220;    422.6222229
        2014;           4;  30279.7031250;  17436.1894531;   2137.6755371;     56.7554665;      0.0000000;  18350.1210938;   3572.3022461;   1035.7687988;    361.7032166;     71.3353577;      1.1136482;      0.0000000;    422.5812073
        2014;           5;  30277.6484375;  17423.3691406;   2122.8330078;     58.5874519;      0.0000000;  18346.6445312;   3625.4221191;   1035.6984863;    361.4372864;     70.8400574;      1.1495953;      0.0000000;    422.5011902
        2014;           6;  30271.6972656;  17420.2812500;   2122.0637207;     67.0717545;      0.0000000;  18342.9199219;   3646.9802246;   1035.4949951;    361.3731995;     70.8143845;      1.3160732;      0.0000000;    422.4154053
        2014;           7;  30263.9511719;  17424.1269531;   2118.3720703;     68.9541168;      0.0000000;  18338.9804688;   3668.4675293;   1035.2299805;    361.4530029;     70.6911850;      1.3530086;      0.0000000;    422.3246460
        2014;           8;  30255.8085938;  17428.9882812;   2114.5305176;     70.1560745;      0.0000000;  18334.9160156;   3689.7446289;   1034.9514160;    361.5538330;     70.5629959;      1.3765932;      0.0000000;    422.2310486
        2014;           9;  30251.2812500;  17434.0722656;   2110.1555176;     71.1245041;      0.0000000;  18330.4550781;   3705.3354492;   1034.7966309;    361.6593018;     70.4170074;      1.3955957;      0.0000000;    422.1283569
        2014;          10;  30273.3554688;  17426.4726562;   2084.9833984;     65.0051117;      0.0000034;  18321.8496094;   3733.5615234;   1035.5516357;    361.5016479;     69.5769958;      1.2755218;      0.0000000;    421.9301453
        2014;          11;  30286.9160156;  17414.9550781;   2058.8088379;     61.5489960;      0.0004346;  18317.3769531;   3772.5395508;   1036.0155029;    361.2627258;     68.7035370;      1.2077062;      0.0000052;    421.8271790
        2014;          12;  30297.4589844;  17398.7265625;   2026.0681152;     59.7216377;      0.0009512;  18314.3828125;   3827.4953613;   1036.3762207;    360.9260559;     67.6109619;      1.1718501;      0.0000114;    421.7582092
        2015;           1;  30303.3437500;  17393.5097656;   2015.5800781;     58.7440948;      0.0007930;  18312.8554688;   3842.1997070;   1036.5775146;    360.8178711;     67.2609711;      1.1526690;      0.0000095;    421.7230530
        2015;           2;  30308.1660156;  17382.1718750;   1998.1008301;     57.0606384;      0.0012161;  18311.1191406;   3879.6044922;   1036.7423096;    360.5826721;     66.6776733;      1.1196363;      0.0000145;    421.6830444
        2015;           3;  30312.7460938;  17373.1835938;   1986.8529053;     56.8719254;      0.0011895;  18309.4589844;   3904.7900391;   1036.8990479;    360.3961792;     66.3023300;      1.1159333;      0.0000142;    421.6448059
