"","YEAR","Ca","Mg","K","Na","NO3","NH4","SO4","Cl","P","DOC","Al","Si"
"375",2379,0,1.4257447,0.0804473,15.9989379,2.627547,0.1106097,4.2693473,19.0577628,0.0524143,10.5055036,0.2386176,8.7184568
"376",2380,0,1.6103263,0.0842799,16.7360112,5.1937819,0.2002386,4.2666246,18.9153263,0.0607824,10.5074442,0.2398129,8.5960418
"377",2381,0,1.895931,0.0961903,17.1110536,5.4143417,0.2406188,4.2602121,27.8598497,0.0535129,10.5102056,0.2741891,8.5297859
"378",2382,0,1.5071619,0.0897028,15.7804737,4.8762591,0.2037484,4.2632133,19.0577628,0.0532883,10.5127388,0.2487146,8.5368165
"379",2383,0,1.5439341,0.0884538,16.011659,4.8055858,0.1909982,4.2612854,18.9153263,0.0532333,10.5145528,0.2443871,8.5089362
"380",2384,0,1.803024,0.0961198,16.7296586,4.5222519,0.1988059,4.2546612,27.8598497,0.0442238,10.5163018,0.2746715,8.4937765
"381",2385,0,1.4398333,0.0879986,15.713562,4.2670817,0.1758803,4.2566195,19.0577628,0.0464727,10.5181262,0.2476778,8.4998067
"382",2386,0,1.4860013,0.0859091,16.0154741,4.2935884,0.1730589,4.258666,18.9153263,0.0475536,10.5199155,0.2429698,8.4751138
"383",2387,0,1.7765416,0.0931656,16.7790979,4.1671204,0.1815703,4.2506063,27.8598497,0.0395648,10.5216865,0.2728226,8.4534764
"384",2388,0,1.4293434,0.085116,15.7428613,4.066989,0.1630435,4.2528151,19.0577628,0.0415366,10.5235351,0.2471198,8.4565261
"385",2389,0,1.4796534,0.0825074,16.0100605,4.0831568,0.1617156,4.2546816,18.9153263,0.0444939,10.5253465,0.2424525,8.4367255
"386",2390,0,1.7887052,0.0893922,16.7621963,3.9182596,0.1697675,4.2509876,27.8598497,0.0407303,10.5271111,0.2714193,8.4245047
"387",2391,0,1.4469574,0.0814104,15.7576896,3.9392046,0.1524956,4.2519117,19.0577628,0.0415866,10.5289188,0.2467774,8.4236539
"388",2392,0,1.5083211,0.0789941,16.0349644,4.062192,0.1533236,4.2527677,18.9153263,0.0421289,10.5306866,0.2410846,8.3976253
"389",2393,0,1.8332978,0.085666,16.7406069,3.7761508,0.1514547,4.2492157,27.8598497,0.0424966,10.5323758,0.2707369,8.3855811
"390",2394,0,1.4881858,0.0779754,15.7405785,3.8034171,0.1353102,4.2498153,19.0577628,0.0390907,10.5340542,0.2450377,8.3879563
"391",2395,0,1.5486747,0.0754872,16.0245143,3.9398366,0.1396748,4.2500169,18.9153263,0.0390674,10.5356782,0.2406565,8.3657883
"392",2396,0,1.9182942,0.082284,16.7938694,3.9348749,0.1497366,4.2491795,27.8598497,0.0391132,10.5371969,0.269868,8.3449142
"393",2397,0,1.5544258,0.0737895,15.6583584,4.0016361,0.0919482,4.1918357,19.3687875,0.0384219,9.5089693,0.198387,8.4221769
"394",2398,0,1.813594,0.0759378,16.3074617,4.0436509,0.0730256,4.1921196,24.0349594,0.0388985,9.4952869,0.2240053,8.3927003
"395",2399,0,2.1058732,0.0847949,16.8872439,4.038145,0.0802905,4.1911751,34.8891257,0.0391423,9.4966471,0.2680888,8.3688466
"396",2400,0,1.8457645,0.0842766,16.3089704,4.1259942,0.0784768,4.1896259,31.6590632,0.0386512,9.4978701,0.2454568,8.369144
"397",2401,0,1.6111834,0.0780872,15.3478294,4.2433273,0.1202979,4.2453358,20.2445051,0.0385599,10.5288634,0.2492353,8.2942365
"398",2402,0,1.5314365,0.0692145,15.8653118,4.2976019,0.1348286,4.2436238,13.4048259,0.0373428,10.5448943,0.2377451,8.2912874
"399",2403,0,1.8932214,0.0722868,16.9498703,5.6793985,0.1494492,4.251361,16.8169505,0.0488999,10.5631846,0.2299732,8.2553103
"400",2404,0.0623099,3.8901741,0.1101255,18.4096133,21.8771824,0.4114438,4.3017224,19.9690355,0.1080683,10.5853052,0.3359764,7.8059363
"401",2405,0.572861,5.0800351,0.1516943,17.4181382,25.8790426,0.5671823,4.3017052,33.9309538,0.1080544,10.5698303,0.3970715,7.6417006
"402",2406,1.3308125,4.5496439,0.1646348,15.7504487,24.1920934,0.5463868,4.2938135,22.2144113,0.1066992,10.5543716,0.3663152,7.7332834
"403",2407,2.3487366,4.7721342,0.1760166,15.5306155,23.1812033,0.5342536,4.293796,18.8836319,0.1066759,10.540984,0.3335457,7.8074596
"404",2408,3.5638187,5.0889692,0.1986086,16.2177258,21.90254,0.5457414,4.2937784,27.8598497,0.1066563,10.5293673,0.3430991,7.8826183
"405",2409,3.8917769,4.5055333,0.2053016,15.8496472,21.1053337,0.5247901,4.293761,19.0577628,0.1066342,10.5192491,0.3089165,7.9623691
"406",2410,4.43265,4.5686592,0.2185889,15.764571,20.6591713,0.52397,4.293743,18.9153263,0.1066128,10.5104145,0.2996646,8.0193381
"407",2411,4.8830695,4.6231616,0.2364343,16.1789869,17.7587335,0.5143096,4.2622285,27.8598497,0.1012383,10.5026688,0.3052709,8.108164
"408",2412,3.9728925,3.7868004,0.22777,15.5980538,15.0187324,0.4601801,4.236297,19.0577628,0.0959197,10.4958546,0.265772,8.2220877
"409",2413,3.2799465,3.5891496,0.2252673,15.589009,12.5787188,0.423804,4.16569,18.9153263,0.0887628,10.4898315,0.2517951,8.3089326
"410",2414,2.7556879,3.7358665,0.2373646,16.2381615,9.8880413,0.4009232,4.1142348,27.8598497,0.0822757,10.4844848,0.2654397,8.39985
"411",2415,1.2714169,2.9826821,0.2209719,15.6142337,7.9151314,0.3346902,4.1112504,19.0577628,0.0758766,10.4797175,0.2395435,8.5026901
"412",2416,0.222465,2.8715421,0.2173413,15.8844655,6.6012665,0.2917341,4.1100612,18.9153263,0.0706581,10.4754436,0.2368179,8.5689111
"413",2417,0,2.7358081,0.2172863,16.0351729,2.9780091,0.1731104,4.118566,27.8598497,0.0367698,10.4734978,0.2543929,8.6889574
"414",2418,0,1.8291656,0.1821521,15.1779516,1.5828275,0.0853649,4.1344206,19.0577628,0.0344063,10.4745239,0.2290939,8.7523996
"415",2419,0,1.6049489,0.1689177,15.9507681,1.5329371,0.0830633,4.1418368,18.9153263,0.0331657,10.4752376,0.2257523,8.7324924
"416",2420,0,1.7776942,0.1758117,16.8046728,0.9938082,0.073756,4.1501802,27.8598497,0.0287782,10.4758937,0.2568734,8.7206644
"417",2421,0,1.4293391,0.15622,15.907086,2.1834578,0.0892801,4.1551101,19.0577628,0.0479988,10.4771019,0.2350965,8.7271715
"418",2422,0,1.5998976,0.1614474,16.7249935,4.6737896,0.1732536,4.1523631,18.9153263,0.0595605,10.4790677,0.2366306,8.6115827
"419",2423,0,1.8935106,0.1818895,17.1580337,4.9510336,0.2188068,4.1459258,27.8598497,0.0523687,10.4818605,0.2708032,8.5449456
"420",2424,0,1.496006,0.16647,15.7591013,4.4305857,0.1838693,4.1489102,19.0577628,0.0521763,10.4844236,0.246017,8.5513135
"421",2425,0,1.5275451,0.1616129,16.0138213,4.3662814,0.1730147,4.1471621,18.9153263,0.0519166,10.4862695,0.2413043,8.5242192
"422",2426,0,1.8028436,0.1736298,16.7587935,4.1106135,0.1795805,4.1403364,27.8598497,0.0432996,10.4880508,0.2713545,8.5072859
"423",2427,0,1.4405567,0.1570765,15.7084062,3.9265021,0.1588463,4.142295,19.0577628,0.0456131,10.4899067,0.2451136,8.513313
"424",2428,0,1.4794717,0.1516533,16.0130331,3.9661279,0.156734,4.144336,18.9153263,0.0461523,10.4917281,0.2405645,8.4895928
"425",2429,0,1.7787094,0.1635074,16.7961389,3.8645165,0.1649317,4.136383,27.8598497,0.0389685,10.4935274,0.2708093,8.4668828
"426",2430,0,1.4297601,0.1480585,15.7361185,3.8143184,0.147606,4.1384943,19.0577628,0.0405058,10.495403,0.2447391,8.4700539
"427",2431,0,1.4754427,0.1429437,16.0159458,3.8544031,0.1468136,4.1403629,18.9153263,0.0434634,10.4972426,0.2402911,8.4494669
"428",2432,0,1.7903676,0.1543663,16.7804094,3.7181417,0.1541748,4.1370136,27.8598497,0.040142,10.4990312,0.2703834,8.4326865
"429",2433,0,1.4481518,0.1398714,15.7461554,3.7557492,0.1379878,4.1379317,19.0577628,0.0410013,10.5008571,0.2441668,8.4323485
"430",2434,0,1.5051827,0.1352643,16.0347197,3.8816762,0.1390347,4.1387871,18.9153263,0.0415346,10.5026397,0.2402911,8.4066106
"431",2435,0,1.8372003,0.1465377,16.7583543,3.6191017,0.1390437,4.1351918,27.8598497,0.0419164,10.5043395,0.2683507,8.3902315
"432",2436,0,1.4906815,0.1331153,15.7302115,3.6539943,0.1243207,4.1356875,19.0577628,0.0384932,10.5060154,0.243156,8.3938073
"433",2437,0,1.547221,0.1285574,16.0252711,3.7850667,0.1280216,4.1358224,18.9153263,0.0384611,10.5076355,0.238787,8.3707002
"434",2438,0,1.9281898,0.1401869,16.8090832,3.7801671,0.1375788,4.1349313,27.8598497,0.0383748,10.5091496,0.2675253,8.3500059
"435",2439,0,1.5909541,0.1285585,15.7721318,3.8962996,0.1292975,4.1340757,19.0577628,0.0381418,10.5105621,0.243187,8.3500431
"436",2440,0,1.662658,0.1249575,16.0218195,4.0218486,0.1326407,4.1342287,18.9153263,0.0386233,10.5118751,0.238342,8.3299299
"437",2441,0,2.0427966,0.1329776,16.6466847,3.9661829,0.0940413,4.0782412,27.3556508,0.0385224,9.4850506,0.1905671,8.3904506
"438",2442,0,1.9742711,0.1358819,16.5286988,3.9722721,0.0717251,4.0768162,28.7724047,0.0380415,9.4713634,0.2184245,8.3766959
"439",2443,0,1.8003961,0.1282931,15.728658,4.045953,0.0689467,4.0760697,22.4555116,0.0373386,9.4725892,0.1912213,8.3638141
"440",2444,0,2.1138244,0.1430325,16.7704657,4.0090038,0.0753843,4.0745177,34.5838837,0.0363027,9.4737135,0.2470653,8.3442419
"441",2445,0,1.9748582,0.1459321,16.6430859,5.4288723,0.1282154,4.1372657,29.8148285,0.0483581,10.5204478,0.2774058,8.2465979
"442",2446,0.0664817,3.7149895,0.1999707,17.9980459,21.2112113,0.4008703,4.1877741,26.3644491,0.10722,10.5574854,0.3346872,7.8119429
"443",2447,0.5336448,4.58192,0.2544358,16.9373288,25.0699991,0.5272123,4.1877574,27.2161228,0.1072045,10.5418864,0.3633786,7.6515265
"444",2448,1.3329858,4.5340519,0.277455,15.8749731,23.4059477,0.5194447,4.1798664,22.186506,0.1058505,10.5263647,0.357539,7.7422971
"445",2449,2.3642779,4.7651532,0.304825,15.5586611,22.3918309,0.516942,4.1798495,23.0340949,0.10583,10.5129387,0.3458664,7.8158993
"446",2450,3.5143896,5.0223473,0.3343943,16.201262,21.1278629,0.5197833,4.1798325,28.6560898,0.1058101,10.501291,0.3418916,7.8905651
"447",2451,3.8245046,4.4498767,0.3394226,15.7992347,20.3409316,0.4978572,4.1798155,19.1280013,0.1057883,10.4911521,0.3034063,7.9741286
"448",2452,4.3808424,4.5366822,0.3568138,15.7380999,19.9015247,0.4960287,4.1797984,18.9153263,0.1057675,10.4822975,0.2942211,8.0321751
"449",2453,4.8611771,4.6183397,0.3831401,16.1698694,17.0114826,0.4864368,4.1482846,27.8598497,0.1003934,10.4745381,0.2985478,8.1200781
"450",2454,3.9507277,3.7675387,0.3668303,15.5631788,14.2774344,0.432749,4.1341488,19.0577628,0.0950754,10.4677091,0.259484,8.233954
"451",2455,3.2702899,3.5637699,0.3622991,15.5684556,11.8417148,0.3960151,4.1219628,18.9153263,0.0879194,10.4616753,0.2455642,8.3229941
"452",2456,2.7873899,3.7254103,0.3828923,16.2207013,9.1641034,0.3714281,4.1134313,27.8598497,0.0814329,10.4563219,0.2596557,8.4155189
"453",2457,1.3373396,2.9767812,0.3577116,15.5845031,7.2653068,0.3043339,4.1105234,19.0577628,0.0750346,10.4515481,0.2333574,8.5196949
"454",2458,0.2620994,2.8826194,0.3552584,15.9051584,6.0601335,0.2581243,4.1093349,18.9153263,0.0698168,10.4472695,0.2316081,8.5855071
"455",2459,0,2.7913202,0.3654543,16.0990998,2.7262416,0.1517933,4.1174603,27.8598497,0.0359487,10.4453217,0.2504797,8.6983246
"456",2460,0,1.8680829,0.3176707,15.1745534,1.447748,0.0760118,4.1333829,19.0577628,0.0338531,10.4463542,0.2271659,8.7592214
"457",2461,0,1.6349243,0.3053387,15.9526345,1.3947864,0.0737202,4.1402819,18.9153263,0.0326128,10.4470735,0.2234052,8.7368813
"458",2462,0,1.8073662,0.3316551,16.8264029,0.878515,0.0636794,4.1493206,27.8598497,0.0283486,10.4477485,0.2552515,8.7241009
"459",2463,0,1.4128337,0.3029648,15.7682912,1.6128733,0.0557315,4.1542275,19.0577628,0.0468961,10.4489722,0.2332247,8.7331901
"460",2464,0,1.5807494,0.3181015,16.7137278,4.1603612,0.1422317,4.1514683,18.9153263,0.0585215,10.4509583,0.2338027,8.6239599
"461",2465,0,1.8859571,0.3635107,17.2284708,4.5425364,0.1981681,4.1450194,27.8598497,0.0514239,10.4537713,0.268265,8.5580639
"462",2466,0,1.4902393,0.3372513,15.7616045,4.0588708,0.1655945,4.1479913,19.0577628,0.05125,10.4563535,0.243934,8.5664226
"463",2467,0,1.521336,0.3323142,16.0230665,4.0325226,0.1572466,4.1463431,18.9153263,0.0508172,10.4582188,0.2391359,8.5386436
"464",2468,0,1.8095379,0.3639747,16.782063,3.8114961,0.163304,4.2196081,27.8598497,0.0424762,10.4600183,0.2684993,8.5206343
"465",2469,0,1.4443712,0.3344467,15.6977696,3.6809199,0.1440969,4.1639665,19.0577628,0.044826,10.4618921,0.2433088,8.5269431
"466",2470,0,1.4774038,0.3273956,16.0159378,3.7385904,0.1426179,4.1660011,18.9153263,0.0450322,10.4637323,0.2386669,8.5026007
"467",2471,0,1.7844702,0.3580172,16.8177511,3.6638188,0.15001,4.1581089,27.8598497,0.0383858,10.4655501,0.2681818,8.4795102
"468",2472,0,1.4337154,0.3284394,15.7341616,3.6593503,0.133755,4.1601617,19.0577628,0.0396543,10.4674441,0.2433381,8.4779488
"469",2473,0,1.4792153,0.3206934,16.0244421,3.7085864,0.1333406,4.1620245,18.9153263,0.0426089,10.4693009,0.2385897,8.4552661
"470",2474,0,1.8016982,0.3484725,16.7937823,3.5673104,0.1397721,4.1588929,27.8598497,0.0395621,10.4711033,0.2672248,8.4376951
"471",2475,0,1.4514767,0.3187501,15.7274278,3.5938375,0.1243716,4.1598054,19.0577628,0.0404197,10.4729419,0.2428022,8.4389287
"472",2476,0,1.5042762,0.3101891,16.0373765,3.7192077,0.1252466,4.1606598,18.9153263,0.0409522,10.4747355,0.2380163,8.4144116
"473",2477,0,1.8455984,0.3366255,16.7810636,3.4847164,0.1277508,4.1570417,27.8598497,0.0413379,10.4764421,0.2667999,8.3965434
"474",2478,0,1.4950125,0.3068481,15.7171948,3.5304712,0.116048,4.1574639,19.0577628,0.0379177,10.4781212,0.2426112,8.3975713
"475",2479,0,1.5492994,0.297597,16.0222413,3.6560281,0.1188518,4.1575476,18.9153263,0.0378772,10.4797397,0.2377054,8.3762027
"476",2480,0,1.9337291,0.3234065,16.815642,3.6524163,0.1281389,4.156632,27.8598497,0.0377878,10.4812528,0.2665899,8.354748
"477",2481,0,1.5937723,0.2961368,15.7622883,3.7673406,0.1203695,4.1557372,19.0577628,0.0375521,10.4826635,0.2409233,8.3545288
"478",2482,0,1.6599446,0.2872102,16.0253572,3.8875375,0.1233461,4.1558678,18.9153263,0.0380314,10.4839791,0.2370414,8.3347094
"479",2483,0,2.0687524,0.3114492,16.8052004,3.8780173,0.1319332,4.1548975,27.8598497,0.0382567,10.4851886,0.2658497,8.3161335
"480",2484,0,1.7057739,0.2845517,15.7612212,3.9619312,0.1226512,4.1532572,19.0577628,0.037714,10.4863132,0.2405691,8.3179566
"481",2485,0,1.5338726,0.2594525,15.169825,3.9925897,0.0781846,4.0973763,15.261854,0.0363719,9.460974,0.1885618,8.3947864
"482",2486,0,1.9902983,0.2776876,16.9726985,3.8776397,0.0641046,4.0959298,26.0394372,0.0355871,9.4473749,0.1865085,8.3742928
"483",2487,0,2.1465309,0.2981077,17.1277452,5.2701489,0.0713294,4.1037452,28.6058643,0.0487428,9.4663587,0.2122977,8.341345
"484",2488,0.0624312,3.7135099,0.3947163,18.082365,20.3776889,0.2749752,4.1534752,27.1632094,0.1047634,9.4871923,0.3223786,7.8722284
"485",2489,0.5874387,5.0003499,0.5068903,17.6174418,24.1747806,0.4767341,4.2097963,45.2577131,0.1063877,10.4994688,0.4836531,7.6402539
"486",2490,1.4596389,4.8424441,0.5240165,16.126037,22.6289178,0.5026695,4.2017716,34.0746015,0.1050209,10.4986567,0.3755891,7.7437974
"487",2491,2.2414431,4.5047061,0.5197725,15.0372123,21.6385887,0.4831638,4.2017557,21.3373592,0.1049982,10.4851232,0.3331733,7.8257172
"488",2492,3.3545067,4.8719028,0.5457304,16.1153525,20.3986116,0.4882687,4.2017392,26.6477119,0.1049787,10.4734331,0.3279841,7.9033587
"489",2493,3.7465344,4.4054258,0.5454634,15.7911497,19.618978,0.472353,4.2017227,19.4695092,0.1049582,10.4632705,0.2992729,7.9852532
"490",2494,4.2895357,4.4980267,0.557721,15.7371315,19.1824505,0.468983,4.2017064,18.9153263,0.104938,10.4544003,0.289928,8.0424579
"491",2495,4.8033344,4.6171155,0.5880739,16.1567092,16.3013459,0.459344,4.1701933,27.8598497,0.0995741,10.4466301,0.2925212,8.1315812
"492",2496,3.9136455,3.7623336,0.5534117,15.5220419,13.5731108,0.4060051,4.1560742,19.0577628,0.0942566,10.4397941,0.2531858,8.2486155
"493",2497,3.2594791,3.5535127,0.5399618,15.5457366,11.1412125,0.3688307,4.1438726,18.9153263,0.0871012,10.4337554,0.2393359,8.3386173
"494",2498,2.8280711,3.7359237,0.5659833,16.2094711,8.5005277,0.3423882,4.1353795,27.8598497,0.0806154,10.4283958,0.2532632,8.4305617
"495",2499,1.4110575,2.9872883,0.52525,15.5622807,6.7079162,0.2741951,4.1324726,19.0577628,0.0742177,10.4236181,0.2274712,8.5359404
"496",2500,0.3053941,2.9096621,0.5215434,15.9316841,5.6347347,0.2252498,4.131285,18.9153263,0.0690009,10.4193364,0.226025,8.6007831
"497",2501,0,2.852262,0.542735,16.1567208,2.5210148,0.1316335,4.1342366,27.8598497,0.0352749,10.4173896,0.2477839,8.705318
"498",2502,0,1.9133689,0.4770351,15.1805548,1.3321101,0.0668439,4.1552339,19.0577628,0.0333166,10.4184282,0.224667,8.7634966
"499",2503,0,1.6669312,0.4640256,15.9451543,1.2754179,0.0647106,4.1495385,18.9153263,0.0321584,10.4191532,0.2221296,8.7424147
"500",2504,0,1.8409127,0.5109131,16.854411,0.7787078,0.0542267,4.1439502,27.8598497,0.0279343,10.4198405,0.2527309,8.7293523
"501",2505,0,1.4302935,0.4702594,15.7575311,1.5257865,0.0488346,4.0628384,19.0577628,0.0463385,10.4210777,0.2316716,8.7375431
"502",2506,0,1.572045,0.4910302,16.6622405,3.7973913,0.1288546,4.0600632,18.9153263,0.057498,10.4230791,0.2314928,8.638576
"503",2507,0,1.8834515,0.5612836,17.2389333,4.1330335,0.1787924,4.0536726,27.8598497,0.0504854,10.4259128,0.264915,8.5729525
"504",2508,0,1.486394,0.5208582,15.755247,3.7626896,0.14866,4.056521,19.0577628,0.0503757,10.4285158,0.2409925,8.5796964
"505",2509,0,1.5151402,0.5137141,16.0318907,3.7692921,0.1419277,4.0550204,18.9153263,0.0497314,10.4303987,0.2367231,8.5544954
"506",2510,0,1.8134173,0.5642058,16.8095425,3.5945234,0.147791,4.0479611,27.8598497,0.0416719,10.4322152,0.2666368,8.5354608
"507",2511,0,1.4472456,0.5206399,15.6983612,3.5299394,0.1301206,4.0499297,19.0577628,0.0440591,10.4341079,0.2414932,8.5376786
"508",2512,0,1.4821407,0.5120343,16.032558,3.58946,0.1291165,4.0519389,18.9153263,0.0440865,10.4359654,0.2366359,8.5103246
"509",2513,0,1.7938594,0.5617676,16.8350022,3.5240991,0.1354475,4.0441062,27.8598497,0.0378226,10.4378024,0.2664987,8.4849689
"510",2514,0,1.4387038,0.5176172,15.7255906,3.5338626,0.1203213,4.046098,19.0577628,0.0388155,10.4397132,0.2422188,8.4837735
"511",2515,0,1.4759495,0.5067329,16.0198849,3.5857897,0.1198671,4.0479565,18.9153263,0.0417661,10.4415891,0.2366806,8.4605077
"512",2516,0,1.8066359,0.5542381,16.8057504,3.4323891,0.126197,4.0450435,27.8598497,0.0390002,10.4434086,0.2659841,8.4429982
"513",2517,0,1.4533507,0.5087448,15.711084,3.4624794,0.1148102,4.0459599,19.0577628,0.0398581,10.44526,0.2420256,8.4436824
"514",2518,0,1.4988406,0.497421,16.0327992,3.5792303,0.115247,4.0468081,18.9153263,0.0403927,10.4470642,0.2363415,8.4184707
"515",2519,0,1.844721,0.5430253,16.7942586,3.368004,0.1185475,4.0431625,27.8598497,0.0407803,10.4487823,0.2658138,8.3996678
"516",2520,0,1.4952838,0.4975063,15.7104637,3.4227144,0.1082023,4.0435133,19.0577628,0.0373595,10.4504642,0.2400648,8.4014719
"517",2521,0,1.5488023,0.4855859,16.025937,3.5452762,0.1106351,4.0435461,18.9153263,0.0373119,10.4520822,0.2362365,8.3789504
"518",2522,0,1.9400428,0.5309056,16.8311854,3.5416909,0.1197413,4.0425932,27.8598497,0.0372152,10.4535954,0.2642253,8.3591532
"519",2523,0,1.5957516,0.4881405,15.746683,3.6559463,0.1123739,4.041675,19.0577628,0.0369765,10.4550079,0.2396001,8.3597071
"520",2524,0,1.6566983,0.4763778,16.0223046,3.7704322,0.1142243,4.0417851,18.9153263,0.0374529,10.4563279,0.2346786,8.3398223
"521",2525,0,2.0692011,0.5197487,16.8149663,3.7616161,0.1225272,4.040801,27.8598497,0.0376755,10.4575416,0.2634796,8.3219609
"522",2526,0,1.7025182,0.4778048,15.7479019,3.845549,0.1138492,4.0391484,19.0577628,0.03688,10.4586757,0.2394953,8.3241772
"523",2527,0,1.7589043,0.4653744,16.0116536,3.9228465,0.1149244,4.0384205,18.9153263,0.0357906,10.4597559,0.2348415,8.3057907
"524",2528,0,2.1734952,0.5059261,16.7971038,3.8849652,0.1222408,4.0368318,27.8598497,0.0348008,10.4607923,0.2633776,8.2896399
"525",2529,0,1.7403642,0.4524777,15.6201017,3.9255087,0.0737435,3.9816381,19.3687875,0.0347352,9.4369925,0.1932047,8.3743027
