;Min Manual;Uptake;Leach;Diff_Manual;Minz;Somz;Diff_Minz;Diff_SOMZ;MB_Minz
26;14.133434;0.6724599;33.0597149;-46.520689;47.6995583;20.3194542;-13.9673835;13.4127206;-0.463512
27;14.401674;0.6724599;32.0433998;-45.7726139;42.0337563;20.4109554;-9.3178966;12.3049043;-0.481208
28;14.713804;0.6724599;31.462705;-45.5040491;37.124218;20.5655079;-4.9890531;11.569657;-0.500794
29;15.046808;3.3622994;28.3017406;-39.9862492;32.8626595;20.767746;-1.1986195;10.896294;-0.5187
30;15.396052;5.4896593;25.4052279;-35.3116206;29.15695;21.0077877;1.7379372;9.8870995;-0.534184
31;15.753766;7.8397985;22.8795629;-30.7935304;25.9285507;21.2700024;4.7908107;9.449359;-0.547428
32;16.113888;9.7398653;19.964012;-26.3380347;23.1104984;21.5467777;6.5933789;8.1570996;-0.55867
33;16.470328;11.514596;17.7597237;-22.7154557;20.6456852;21.8362427;8.6286345;7.438077;-0.568176
34;16.820944;12.8931475;16.2186054;-20.1464019;18.4853516;22.1250381;10.6264013;6.9867148;-0.576156
35;19.654796;26.8041077;8.3093325;-1.1600208;17.7484703;22.4072895;17.3649699;12.7061507;0.332206
36;21.674968;27.7636871;5.3975552;0.6911639;18.6920166;22.7765026;14.4692257;10.3847397;-0.320558
37;22.156722;28.3542347;5.3098579;0.8876548;19.4558086;23.1035023;14.208284;10.5605903;-0.44548
38;24.716328;31.5213757;4.309171;2.4958767;20.357193;23.6493034;15.4733537;12.1812433;-0.060718
39;27.316268;33.0774879;3.5271833;2.2340366;21.6204262;24.2379856;14.984245;12.3666856;-0.070196
40;23.600808;35.3001709;8.8831383;2.8162246;23.3083248;24.4884472;20.8749844;19.694862;-1.245006
41;22.878324;30.617588;10.4601648;-2.7209008;25.5035954;23.9598751;15.5741574;17.1178777;-0.305074
42;23.086252;26.9327316;9.7142273;-5.8677477;27.5624332;23.9592056;9.0845257;12.6877533;-0.4599
43;22.711892;26.0828495;9.6232705;-6.252313;29.2556534;23.8806629;6.4504666;11.8254571;-0.557676
44;25.641434;28.4857998;9.265907;-6.4215412;30.9626923;23.8598251;6.7890145;13.8918817;0.009156
45;25.737586;28.8744774;9.1517566;-6.0148652;32.7339554;24.4538479;5.2922786;13.5723861;-0.712614
46;24.233678;28.6966476;9.4880561;-5.0250865;34.4848022;24.3350964;3.6999015;13.8496073;-0.726656
47;25.736102;29.8592129;8.6429725;-4.5198616;36.2002983;24.2091312;2.3018871;14.2930542;-0.29113
48;25.275208;30.6262341;8.525123;-3.1740969;37.938942;24.0692768;1.2124151;15.0820803;-0.515186
49;24.324202;30.1279335;9.0927111;-3.2889796;39.6304092;23.9119186;-0.4097646;15.308726;-0.59556
50;24.65316;32.428463;8.3659286;-0.5906256;41.2470398;23.7381344;-0.4526482;17.0562572;-0.440104
51;24.879988;32.2791252;8.2172438;-0.8181066;42.8586845;23.5529938;-2.3623155;16.9433752;-0.422366
52;24.007214;31.2167759;8.5796884;-1.3701265;44.4144249;23.3569012;-4.6179606;16.4395631;-0.566342
53;24.050096;31.7856369;8.5347103;-0.7991694;45.872364;23.1519909;-5.5520168;17.1683563;-0.463106
54;24.080896;32.1014252;8.657233;-0.6367038;47.2488937;22.9406681;-6.4902355;17.8179901;-0.425194
55;23.731092;32.1699219;8.8404504;-0.4016205;48.5474701;22.7253418;-7.5370978;18.2850305;-0.480942
