YEAR;Month;PP N mol/m�;PP Ca mol/m�;PP Mg mol/m�;PP K mol/m�;PP S mol/m�;PP P mol/m�;PU N mol/m�;PU Ca mol/m�;PU Mg mol/m�;PU K mol/m�;PU S mol/m�;PU P mol/m�;AU N mol/m�;AU Ca mol/m�;AU Mg mol/m�;AU K mol/m�;AU S mol/m�;AU P mol/m�;PA N mol/m�;PA Ca mol/m�;PA Mg mol/m�;PA K mol/m�;PA S mol/m�;PA P mol/m�;AA N mol/m�;AA Ca mol/m�;AA Mg mol/m�;AA K mol/m�;AA S mol/m�;AA P mol/m�
        2008;           6;      0.0000000;      0.0000000;    111.9824219;  -1547.1115723;      0.0000000;      0.0000000;  11903.2451172;   4579.1577148;   1304.6716309;   3609.2370605;    468.8229980;    431.3604736;  11403.3095703;   4579.1577148;   1304.6718750;   5316.3002930;    468.8229675;    431.3604736;  16293.8955078;   4736.0068359;   1192.6894531;   3476.6601562;    584.9834595;   1007.2072754;  13272.6005859;   4579.1577148;   1192.6894531;   3476.6601562;    468.8229675;    530.1458740
        2008;           7;      0.0000000;      0.0000000;    235.4930420;  -1380.1212158;     22.2262573;      0.0000000;  11903.2451172;   4579.1577148;   1304.6716309;   3609.2370605;    600.0934448;    552.1414185;   9510.2197266;   4579.1577148;   1304.6718750;   5318.9819336;    600.0934448;    167.5906219;  16022.8349609;   4711.4228516;   1181.1612549;   3442.2470703;    577.8671875;    994.6854248;  10904.9062500;   4579.1577148;   1181.1612549;   3442.2470703;    577.8671875;    241.1510468
        2008;           8;      0.0000000;    511.8906250;    532.5472412;   -705.5407715;     20.1552429;      0.0000000;  10415.3398438;   4579.1577148;   1304.6716309;   3609.2370605;    487.5758972;    448.6148682;   5145.1791992;   4579.1577148;   1304.6718750;   5323.5078125;    487.5758362;    206.0256348;  13411.0371094;   4067.2670898;   1007.6176758;   2934.6569824;    489.6468506;    842.2189941;   7169.9428711;   4067.2670898;   1007.6176758;   2934.6569824;    489.6468506;    312.5017395
        2008;           9;      0.0000000;    573.9020996;    659.7072144;   -507.6719971;      4.4267883;      0.0000000;   9671.3857422;   4006.7629395;   1141.5876465;   3158.0825195;    487.5758972;    448.6148682;   2437.1901855;   4006.7624512;   1141.5877686;   4870.4296875;    487.5758362;    178.3834381;  14305.5156250;   3944.7512207;   1014.4277954;   2960.2136230;    503.3042908;    867.6340942;   6548.9794922;   3944.7512207;   1014.4277954;   2960.2136230;    503.3042908;    394.4458313
        2008;          10;   1769.9667969;      0.0000000;    185.3134155;  -1703.2034912;      0.0000000;    215.6814575;    371.9764099;      0.0000000;      0.0000000;      0.0000000;     93.7646027;     86.2720947;    234.3451538;      0.0000000;      0.0000000;   1703.2034912;     93.7645874;     74.3404617;  10787.1884766;   1080.1606445;    474.3937988;   1413.5035400;    288.1142883;    506.2763062;  10787.1884766;    573.9020996;    474.3937988;   1195.5314941;     98.1913757;    506.2763062
        2008;          11;      0.0000000;      0.0000000;      0.0000000;  -1658.9718018;      0.0000000;      0.0000000;    371.9764099;      0.0000000;      0.0000000;      0.0000000;     37.5058403;     34.5088387;    371.9764404;      0.0000000;      0.0000000;   1658.9718018;     37.5058403;     34.5088387;  31713.8125000;   2978.0947266;   1364.4005127;   4070.2717285;    837.5114746;   1472.9995117;   6900.4687500;      0.0000000;    185.3134155;    -44.2316895;     37.5058403;    500.4530029
        2008;          12;      0.0000000;      0.0000000;      0.0000000;  -1632.2249756;      0.0000000;      0.0000000;    371.9764099;      0.0000000;      0.0000000;      0.0000000;     18.7529202;     17.2544193;    371.9764404;      0.0000000;      0.0000000;   1632.2249756;     18.7529202;     17.2544193;  50609.5742188;   4691.8403320;   2168.0354004;   6469.2089844;   1333.5914307;   2345.9052734;   2168.0598145;      0.0000000;      0.0000000;    -26.7468262;     18.7529202;    111.5788345
        2009;           1;      0.0000000;      0.0000000;      0.0000000;  -1621.9417725;      0.0000000;      0.0000000;    381.9537354;      0.0000000;      0.0000000;      0.0000000;     19.2583618;     17.7395306;    381.9537659;      0.0000000;      0.0000000;   1621.9417725;     19.2583580;     17.7395306;  77712.0703125;   7151.3544922;   3320.8430176;   9910.4746094;   2045.2446289;   3597.9794922;   1683.8837891;      0.0000000;      0.0000000;    -10.2832031;     19.2583580;     86.1095352
        2009;           2;      0.0000000;      0.0000000;      0.0000000;  -1614.6888428;      0.0000000;      0.0000000;    381.9537354;      0.0000000;      0.0000000;      0.0000000;     38.5167236;     35.4790611;    381.9537659;      0.0000000;      0.0000000;   1614.6888428;     38.5167160;     35.4790611;  82583.9687500;   7593.2099609;   3528.0441895;  10528.9931641;   2173.1491699;   3823.0407715;   1939.6146240;      0.0000000;      0.0000000;     -7.2529297;     38.5167160;    117.2779083
        2009;           3;      0.0000000;      0.0000000;      0.0000000;  -1606.1169434;      0.0000000;      0.0000000;    763.9074707;      0.0000000;      0.0000000;      0.0000000;     96.2918091;     88.6976547;    763.9075317;      0.0000000;      0.0000000;   1606.1169434;     96.2917938;     88.6976547;  87972.3984375;   8185.1923828;   3772.9714355;  11257.5205078;   2319.6447754;   4079.9682617;   2347.6208496;      0.0000000;      0.0000000;     -8.5718994;     96.2917938;    171.8633270
