"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"Date";"group_id"
"66";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2010;6;0,7284711;0,5674323;0,6507655;1,3069773;0,0045771;0,0025011;0,5944483;1,7210184;0,1041214;13,0827332;0,0002422;0,7735079;NA;NA;NA;NA;2010-06-01;1
"67";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2010;7;0;0;0;0;0;0;0;0;0;0;4,69e-05;0;NA;NA;NA;NA;2010-07-01;1
"68";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2010;8;0;0;0;0;0;0;0;0;0;0;2e-07;0;NA;NA;NA;NA;2010-08-01;1
"69";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2010;9;0,2209523;0,172178;0,1442939;0,2821493;0;0;0,0946681;0,2662669;0,0345836;4,5044441;0,0003476;0,5237058;NA;NA;NA;NA;2010-09-01;1
"70";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2010;10;1,4559689;1,1334782;1,1802547;2,3524337;0,0360686;0,047308;1,0086468;3,754873;0,0918931;23,2790203;0,0001635;2,2744658;NA;NA;NA;NA;2010-10-01;1
"71";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2010;11;0,9696714;0,7543817;1,1943818;2,2873821;0,0622582;0,0747096;1,5559959;3,1378157;0,055688;13,4368162;6,58e-05;1,1325336;NA;NA;NA;NA;2010-11-01;1
"72";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2010;12;1,628015;1,2650355;1,9149951;4,0733972;0,0603541;0,116213;2,3852189;9,9154167;0,0575291;8,2190027;5,85e-05;0,5023685;NA;NA;NA;NA;2010-12-01;1
"73";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2011;1;0,6193264;0,4808994;0,9004302;1,8467523;0,0712151;0,0704244;1,3884867;2,9298227;0,0427265;5,3443518;4,61e-05;0,2864425;NA;NA;NA;NA;2011-01-01;1
"74";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2011;2;0,532467;0,4131913;0,7537078;1,5281223;0,0846707;0,0750634;1,1312797;2,4363084;0,0335678;4,6794248;4,86e-05;0,2487943;NA;NA;NA;NA;2011-02-01;1
"75";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2011;3;1,2052295;0,9342826;1,5800092;3,3182447;0,1595056;0,1623097;2,2046747;6,8207312;0,061314;7,2951713;5,38e-05;0,3741307;NA;NA;NA;NA;2011-03-01;1
"76";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2011;4;0,6946762;0,5381518;0,9401056;1,9491218;0,071189;0,0688022;1,3332301;3,337173;0,0406582;6,2761588;5,76e-05;0,4549527;NA;NA;NA;NA;2011-04-01;1
